,Consumer Price,Motor Gasoline Price ($/gallon),,
Month,Index (1982-84=1),Nominal,Real,
January 1999,1.647,0.94,1.79,
February 1999,1.647,0.92,1.75,
March 1999,1.648,0.98,1.87,
April 1999,1.659,1.13,2.14,
May 1999,1.660,1.13,2.14,
June 1999,1.660,1.11,2.11,
July 1999,1.667,1.16,2.18,
August 1999,1.671,1.22,2.29,
September 1999,1.678,1.26,2.35,
October 1999,1.681,1.24,2.32,
November 1999,1.684,1.25,2.33,
December 1999,1.688,1.27,2.37,
January 2000,1.693,1.29,2.39,
February 2000,1.700,1.38,2.54,
March 2000,1.710,1.52,2.78,
April 2000,1.709,1.46,2.69,
May 2000,1.712,1.49,2.73,
June 2000,1.722,1.63,2.98,
July 2000,1.727,1.55,2.82,
August 2000,1.727,1.46,2.66,
September 2000,1.736,1.55,2.80,
October 2000,1.739,1.53,2.77,
November 2000,1.742,1.52,2.73,
December 2000,1.746,1.44,2.59,
January 2001,1.756,1.45,2.59,
February 2001,1.760,1.45,2.59,
March 2001,1.761,1.41,2.51,
April 2001,1.764,1.55,2.76,
May 2001,1.773,1.70,3.01,
June 2001,1.777,1.62,2.86,
July 2001,1.774,1.42,2.51,
August 2001,1.774,1.42,2.51,
September 2001,1.781,1.52,2.68,
October 2001,1.776,1.32,2.33,
November 2001,1.775,1.17,2.07,
December 2001,1.774,1.09,1.92,
January 2002,1.777,1.11,1.96,
February 2002,1.780,1.11,1.96,
March 2002,1.785,1.25,2.20,
April 2002,1.793,1.40,2.45,
May 2002,1.795,1.39,2.43,
June 2002,1.796,1.38,2.42,
July 2002,1.800,1.40,2.44,
August 2002,1.805,1.40,2.43,
September 2002,1.808,1.40,2.43,
October 2002,1.812,1.45,2.50,
November 2002,1.815,1.42,2.45,
December 2002,1.818,1.39,2.39,
January 2003,1.826,1.46,2.51,
February 2003,1.836,1.61,2.76,
March 2003,1.839,1.69,2.89,
April 2003,1.832,1.59,2.72,
May 2003,1.829,1.50,2.57,
June 2003,1.831,1.49,2.56,
July 2003,1.837,1.51,2.59,
August 2003,1.845,1.62,2.76,
September 2003,1.851,1.68,2.85,
